country,Region,Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),GDP per capita (current US$)
Afghanistan,SouthernAsia,35530,54.4,20270,623.2
Albania,SouthernEurope,2930,106.9,11541,3984.2
Algeria,NorthernAfrica,41318,17.3,164779,4154.1
American Samoa,Polynesia,56,278.2,-99,-99
Andorra,SouthernEurope,77,163.8,2812,39896.4
Angola,MiddleAfrica,29784,23.9,117955,4714.1
Anguilla,Caribbean,15,165.7,320,21879.6
Antigua and Barbuda,Caribbean,102,231.8,1356,14764.5
Argentina,SouthAmerica,44271,16.2,632343,14564.5
Armenia,WesternAsia,2930,102.9,10529,3489.1
Aruba,Caribbean,105,584.8,2702,26005.4
Australia,Oceania,24451,3.2,1230859,51352.2
Austria,WesternEurope,8736,106,376967,44117.7
Azerbaijan,WesternAsia,9828,118.9,53049,5438.7
Bahamas,Caribbean,395,39.5,8854,22817.2
Bahrain,WesternAsia,1493,1963.9,31126,22600.2
Bangladesh,SouthernAsia,164670,1265,194466,1207.9
Barbados,Caribbean,286,664.5,4385,15429.4
Belarus,EasternEurope,9468,46.7,54609,5750.8
Belgium,WesternEurope,11429,377.5,455107,40277.8
Belize,CentralAmerica,375,16.4,1721,4789.4
Benin,WesternAfrica,11176,99.1,8476,779.1
Bermuda,NorthernAmerica,61,1227,5853,94399.9
Bhutan,SouthernAsia,808,21.2,2074,2677.1
Bolivia (Plurinational State of),SouthAmerica,11052,10.2,32998,3076.8
"Bonaire, Sint Eustatius and Saba",Caribbean,25,77.4,-99,-99
Bosnia and Herzegovina,SouthernEurope,3507,68.8,16251,4265
Botswana,SouthernAfrica,2292,4,14391,6360.6
Brazil,SouthAmerica,209288,25,1772591,8528.3
British Virgin Islands,Caribbean,31,208,908,30144.5
Brunei Darussalam,South-easternAsia,429,81.3,12930,30552.7
Bulgaria,EasternEurope,7085,65.3,48953,6846.8
Burkina Faso,WesternAfrica,19193,70.2,11065,611.1
Burundi,EasternAfrica,10864,423.1,2735,244.6
Cabo Verde,WesternAfrica,546,135.6,1603,3080.2
Cambodia,South-easternAsia,16005,90.7,18050,1158.7
Cameroon,MiddleAfrica,24054,50.9,28416,1217.3
Canada,NorthernAmerica,36624,4,1552808,43205.6
Cayman Islands,Caribbean,62,256.5,3726,62132
Central African Republic,MiddleAfrica,4659,7.5,1633,333.2
Chad,MiddleAfrica,14900,11.8,10009,713
Channel Islands,NorthernEurope,165,870.1,-99,-99
Chile,SouthAmerica,18055,24.3,240796,13416.2
"China, Hong Kong SAR",EasternAsia,7365,7014.2,309236,42431
"China, Macao SAR",EasternAsia,623,20821.6,46178,78586.4
China,EasternAsia,1409517,150.1,11158457,8109.1
Colombia,SouthAmerica,49066,44.2,292080,6056.1
Comoros,EasternAfrica,814,437.4,1079,1368.9
Congo,MiddleAfrica,5261,15.4,8493,1838.1
Cook Islands,Polynesia,17,72.4,294,14118.7
Costa Rica,CentralAmerica,4906,96.1,52958,11015
Croatia,SouthernEurope,4189,74.9,48676,11479.4
Cuba,Caribbean,11485,107.9,87206,7656.6
Cyprus,WesternAsia,1180,127.7,19561,21941.9
Czechia,EasternEurope,10618,137.5,185156,17561.7
Democratic People's Republic of Korea,EasternAsia,25491,211.7,16283,648
Democratic Republic of the Congo,MiddleAfrica,81340,35.9,37569,486.2
Denmark,NorthernEurope,5734,135.1,301308,53149.3
Djibouti,EasternAfrica,957,41.3,1737,1956.3
Dominica,Caribbean,74,98.6,512,7051.1
Dominican Republic,Caribbean,10767,222.8,67103,6373.6
Ecuador,SouthAmerica,16625,66.9,100177,6205.1
Egypt,NorthernAfrica,97553,98,315917,3452.3
El Salvador,CentralAmerica,6378,307.8,25850,4219.4
Equatorial Guinea,MiddleAfrica,1268,45.2,13812,16344.1
Eritrea,EasternAfrica,5069,50.2,4783,914.9
Estonia,NorthernEurope,1310,30.9,22460,17112
Ethiopia,EasternAfrica,104957,105,59917,602.8
Falkland Islands (Malvinas),SouthAmerica,3,0.2,-99,-99
Faroe Islands,NorthernEurope,49,35.3,-99,-99
Fiji,Melanesia,906,49.6,4391,4921.9
Finland,NorthernEurope,5523,18.2,231960,42148.1
France,WesternEurope,64980,118.7,2418946,36304.2
French Guiana,SouthAmerica,283,3.4,-99,-99
French Polynesia,Polynesia,283,77.3,5135,18161
Gabon,MiddleAfrica,2025,7.9,13735,7960.7
Gambia,WesternAfrica,2101,207.6,942,473.2
Georgia,WesternAsia,3912,56.3,13965,3491.4
Germany,WesternEurope,82114,235.6,3363600,41686.2
Ghana,WesternAfrica,28834,126.7,37156,1355.6
Gibraltar,SouthernEurope,35,3457.1,-99,-99
Greece,SouthernEurope,11160,86.6,194860,17788
Greenland,NorthernAmerica,56,0.1,2078,36976.7
Grenada,Caribbean,108,317.1,954,8933.8
Guadeloupe,Caribbean,450,266,-99,-99
Guam,Micronesia,164,304.1,-99,-99
Guatemala,CentralAmerica,16914,157.8,63794,3903.5
Guinea-Bissau,WesternAfrica,1861,66.2,978,530
Guinea,WesternAfrica,12717,51.8,8875,703.9
Guyana,SouthAmerica,778,4,3282,4278.8
Haiti,Caribbean,10981,398.4,8501,793.7
Holy See,SouthernEurope,1,1800,-99,-99
Honduras,CentralAmerica,9265,82.8,20365,2521.9
Hungary,EasternEurope,9722,107.4,121715,12350.6
Iceland,NorthernEurope,335,3.3,16780,50936
India,SouthernAsia,1339180,450.4,2116239,1614.2
Indonesia,South-easternAsia,263991,145.7,861934,3346.5
Iran (Islamic Republic of),SouthernAsia,81163,49.8,398563,5038.1
Iraq,WesternAsia,38275,88.1,164234,4509
Ireland,NorthernEurope,4762,69.1,283716,60513.6
Isle of Man,NorthernEurope,84,147.9,-99,-99
Israel,WesternAsia,8322,384.5,299413,37129.4
Italy,SouthernEurope,59360,201.8,1821580,30462.4
Jamaica,Caribbean,2890,266.9,14262,5105.8
Japan,EasternAsia,127484,349.7,4383076,34628.7
Jordan,WesternAsia,9702,109.3,37517,4940.1
Kazakhstan,CentralAsia,18204,6.7,181754,10312.1
Kenya,EasternAfrica,49700,87.3,63399,1376.7
Kiribati,Micronesia,116,143.7,162,1442.9
Kuwait,WesternAsia,4136,232.1,114054,29303.9
Kyrgyzstan,CentralAsia,6045,31.5,6572,1106.4
Lao People's Democratic Republic,South-easternAsia,6858,29.7,12585,1850.2
Latvia,NorthernEurope,1950,31.3,27004,13704.1
Lebanon,WesternAsia,6082,594.6,50149,8571.4
Lesotho,SouthernAfrica,2233,73.6,2008,940.6
Liberia,WesternAfrica,4732,49.1,2053,455.9
Libya,NorthernAfrica,6375,3.6,34457,5488.2
Liechtenstein,WesternEurope,38,237,6361,169491.8
Lithuania,NorthernEurope,2890,46.1,41402,14383.7
Luxembourg,WesternEurope,584,225.3,56802,100160.8
Madagascar,EasternAfrica,25571,44,9739,401.8
Malawi,EasternAfrica,18622,197.5,6420,372.9
Malaysia,South-easternAsia,31624,96.3,296284,9768.4
Maldives,SouthernAsia,436,1454.4,3435,9446.5
Mali,WesternAfrica,18542,15.2,13100,744.3
Malta,SouthernEurope,431,1346.4,9747,23280.7
Marshall Islands,Micronesia,53,295.2,183,3452.6
Martinique,Caribbean,385,363.1,-99,-99
Mauritania,WesternAfrica,4420,4.3,5023,1235
Mauritius,EasternAfrica,1265,623.2,11511,9040.9
Mayotte,EasternAfrica,253,674.8,-99,-99
Mexico,CentralAmerica,129163,66.4,1140724,8980.9
Micronesia (Federated States of),Micronesia,106,150.8,315,3015.2
Monaco,WesternEurope,39,25969.8,6258,165870.6
Mongolia,EasternAsia,3076,2,11758,3973.4
Montenegro,SouthernEurope,629,46.8,4020,6424.1
Montserrat,Caribbean,5,51.8,59,11553.4
Morocco,NorthernAfrica,35740,80.1,100359,2919.3
Mozambique,EasternAfrica,29669,37.7,14806,529.2
Myanmar,South-easternAsia,53371,81.7,62601,1161.5
Namibia,SouthernAfrica,2534,3.1,11491,4673.6
Nauru,Micronesia,11,568,189,18469.2
Nepal,SouthernAsia,29305,204.4,20658,724.5
Netherlands,WesternEurope,17036,505.2,750318,44332.1
New Caledonia,Melanesia,276,15.1,8937,33965.7
New Zealand,Oceania,4706,17.9,173417,38294.3
Nicaragua,CentralAmerica,6218,51.7,12693,2086.9
Niger,WesternAfrica,21477,17,7143,359
Nigeria,WesternAfrica,190886,209.6,494583,2714.5
Niue,Polynesia,2,6.2,-99,-99
Northern Mariana Islands,Micronesia,55,119.9,-99,-99
Norway,NorthernEurope,5305,14.5,386578,74185.5
Oman,WesternAsia,4636,15,69832,15550.8
Pakistan,SouthernAsia,197016,255.6,266458,1410.4
Palau,Micronesia,22,47.2,258,12122.5
Panama,CentralAmerica,4099,55.1,52132,13268.1
Papua New Guinea,Melanesia,8251,18.2,21315,2797.6
Paraguay,SouthAmerica,6811,17.1,27714,4174.4
Peru,SouthAmerica,32166,25.1,190428,6069.1
Philippines,South-easternAsia,104918,351.9,292449,2904.2
Poland,EasternEurope,38171,124.6,477066,12355.5
Portugal,SouthernEurope,10330,112.8,199122,19239.2
Puerto Rico,Caribbean,3663,413,102906,27939
Qatar,WesternAsia,2639,227.3,164641,73653.4
Republic of Korea,EasternAsia,50982,524.3,1377873,27396.7
Republic of Moldova,EasternEurope,4051,123.3,6475,1591.4
Romania,EasternEurope,19679,85.5,177956,9120.7
Russian Federation,EasternEurope,143990,8.8,1326016,9243.3
Rwanda,EasternAfrica,12208,494.9,8096,697.3
Saint Helena,WesternAfrica,4,10.4,-99,-99
Saint Kitts and Nevis,Caribbean,55,212.9,876,15771.9
Saint Lucia,Caribbean,179,293.2,1450,7839.4
Saint Pierre and Miquelon,NorthernAmerica,6,27.5,-99,-99
Saint Vincent and the Grenadines,Caribbean,110,281.8,738,6739.2
Samoa,Polynesia,196,69.4,774,4006
San Marino,SouthernEurope,33,556.7,1565,49240.2
Sao Tome and Principe,MiddleAfrica,204,212.8,334,1752.8
Saudi Arabia,WesternAsia,32938,15.3,653219,20710.6
Senegal,WesternAfrica,15851,82.3,13633,901.1
Serbia,SouthernEurope,8791,100.5,37160,5238.6
Seychelles,EasternAfrica,95,206,1363,14133.2
Sierra Leone,WesternAfrica,7557,104.7,4483,694.8
Singapore,South-easternAsia,5709,8155.5,292734,52239
Sint Maarten (Dutch part),Caribbean,40,1180,1094,28241.7
Slovakia,EasternEurope,5448,113.3,87268,16082.5
Slovenia,SouthernEurope,2080,103.3,42777,20689.8
Solomon Islands,Melanesia,611,21.8,1075,1841.6
Somalia,EasternAfrica,14742,23.5,1559,144.5
South Africa,SouthernAfrica,56717,46.8,314571,5773
South Sudan,EasternAfrica,12576,20.6,13167,1067
Spain,SouthernEurope,46354,92.9,1192955,25865.4
Sri Lanka,SouthernAsia,20877,332.9,82316,3973.7
State of Palestine,WesternAsia,4921,817.4,12677,2715.5
Sudan,NorthernAfrica,40533,23,79546,1977
Suriname,SouthAmerica,563,3.6,4879,8985.3
Swaziland,SouthernAfrica,1367,79.5,4133,3211.7
Sweden,NorthernEurope,9911,24.2,495694,50687.5
Switzerland,WesternEurope,8476,214.5,670790,80831.1
Syrian Arab Republic,WesternAsia,18270,99.5,28393,1534.5
Tajikistan,CentralAsia,8921,63.7,7853,925.9
Thailand,South-easternAsia,69038,135.1,395168,5814.8
The former Yugoslav Republic of Macedonia,SouthernEurope,2083,82.6,10052,4836.1
Timor-Leste,South-easternAsia,1296,87.2,2873,2425.4
Togo,WesternAfrica,7798,143.4,4086,559.4
Tokelau,Polynesia,1,130,-99,-99
Tonga,Polynesia,108,150,402,3784.5
Trinidad and Tobago,Caribbean,1369,266.9,25927,19062.9
Tunisia,NorthernAfrica,11532,74.2,41199,3660.9
Turkey,WesternAsia,80745,104.9,717888,9125.8
Turkmenistan,CentralAsia,5758,12.3,37597,6996.7
Turks and Caicos Islands,Caribbean,35,37.3,863,25121.8
Tuvalu,Polynesia,11,373.1,33,3362.4
Uganda,EasternAfrica,42863,214.5,25282,647.7
Ukraine,EasternEurope,44223,76.3,90615,2021.6
United Arab Emirates,WesternAsia,9400,112.4,370296,40438.8
United Kingdom,NorthernEurope,66182,273.6,2858003,44162.4
United Republic of Tanzania,EasternAfrica,57310,64.7,45628,877.3
United States of America,NorthernAmerica,324460,35.5,18036648,56053.8
United States Virgin Islands,Caribbean,105,299.7,-99,-99
Uruguay,SouthAmerica,3457,19.8,53442,15573.8
Uzbekistan,CentralAsia,31911,75,69004,2308.3
Vanuatu,Melanesia,276,22.7,737,2783
Venezuela (Bolivarian Republic of),SouthAmerica,31977,36.3,344331,11068.9
Viet Nam,South-easternAsia,95541,308.1,193241,2067.9
Wallis and Futuna Islands,Polynesia,12,84.1,-99,-99
Western Sahara,NorthernAfrica,553,2.1,-99,-99
Yemen,WesternAsia,28250,53.5,29688,1106.4
Zambia,EasternAfrica,17094,23,21255,1311.1
Zimbabwe,EasternAfrica,16530,42.7,13893,890.4
